src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_rate,byte_rate,packet_count,byte_count,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,time_between_packets_mean,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,initial_window_size,incomplete_handshake,tcp_flags_count,packets_src_to_dst,packets_dst_to_src,bytes_src_to_dst,bytes_dst_to_src,label
192.168.157.6,224.0.0.252,52225,5355,17,0.4230833053588867,4.727201415578121,354.5401061683591,2,150,75.0,75,75,0.0,0.41616249084472656,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.156.30,192.168.154.39,45152,22,6,1e-06,1000000.0,60000000.0,1,60,60.0,60,60,0,0,1,0,0,0,0,0,1024,1,1,1,0,60,0,benign
192.168.154.39,192.168.156.30,22,45152,6,1e-06,1000000.0,54000000.0,1,54,54.0,54,54,0,0,0,1,0,0,0,1,0,0,2,1,0,54,0,benign
192.168.155.202,224.0.0.252,64597,5355,17,0.40416646003723145,4.948456138136158,331.5465612551226,2,134,67.0,67,67,0.0,0.4057314395904541,0,0,0,0,0,0,,0,0,2,0,134,0,benign
192.168.156.30,192.168.154.39,45152,445,6,1e-06,1000000.0,60000000.0,1,60,60.0,60,60,0,0,1,0,0,0,0,0,1024,1,1,1,0,60,0,benign
192.168.154.39,192.168.156.30,445,45152,6,1e-06,1000000.0,54000000.0,1,54,54.0,54,54,0,0,0,1,0,0,0,1,0,0,2,1,0,54,0,benign
192.168.155.253,224.0.0.252,61378,5355,17,0.4147977828979492,4.82162654300409,361.6219907253068,2,150,75.0,75,75,0.0,0.42009520530700684,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.156.30,192.168.154.39,45152,443,6,1e-06,1000000.0,60000000.0,1,60,60.0,60,60,0,0,1,0,0,0,0,0,1024,1,1,1,0,60,0,benign
192.168.154.39,192.168.156.30,443,45152,6,1e-06,1000000.0,54000000.0,1,54,54.0,54,54,0,0,0,1,0,0,0,1,0,0,2,1,0,54,0,benign
192.168.154.39,104.81.96.242,34948,443,6,0.08757972717285156,22.836335126423766,1507.1981183439684,2,132,66.0,66,66,0.0,0.08128023147583008,0,0,0,0,0,2,501,0,2,2,0,132,0,benign
192.168.156.30,192.168.154.39,45152,1720,6,1e-06,1000000.0,60000000.0,1,60,60.0,60,60,0,0,1,0,0,0,0,0,1024,1,1,1,0,60,0,benign
192.168.154.39,192.168.156.30,1720,45152,6,1e-06,1000000.0,54000000.0,1,54,54.0,54,54,0,0,0,1,0,0,0,1,0,0,2,1,0,54,0,benign
192.168.155.202,224.0.0.252,60435,5355,17,0.4083836078643799,4.897356214807182,328.1228663920812,2,134,67.0,67,67,0.0,0.4066038131713867,0,0,0,0,0,0,,0,0,2,0,134,0,benign
192.168.159.92,224.0.0.251,5353,5353,17,15.010557413101196,1.1991560009816573,234.23513885841703,18,3516,195.33333333333334,83,310,113.92670502409459,0.8829452150008258,0,0,0,0,0,0,,0,0,18,0,3516,0,benign
192.168.156.30,192.168.154.39,45152,587,6,1e-06,1000000.0,60000000.0,1,60,60.0,60,60,0,0,1,0,0,0,0,0,1024,1,1,1,0,60,0,benign
192.168.154.39,192.168.156.30,587,45152,6,1e-06,1000000.0,54000000.0,1,54,54.0,54,54,0,0,0,1,0,0,0,1,0,0,2,1,0,54,0,benign
192.168.157.6,192.168.159.255,137,137,17,13.981757879257202,1.3589135331965423,125.0200450540819,19,1748,92.0,92,92,0.0,0.7766534619861178,0,0,0,0,0,0,,0,0,19,0,1748,0,benign
192.168.157.237,224.0.0.251,42975,5353,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0,0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
192.168.157.237,224.0.0.251,48087,5353,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0,0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
192.168.157.237,224.0.0.251,56978,5353,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0,0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
192.168.157.237,224.0.0.251,39210,5353,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0,0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
