src_port,dst_port,protocol,flow_duration,packet_rate,byte_rate,packet_count,byte_count,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,time_between_packets_mean,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,initial_window_size,incomplete_handshake,tcp_flags_count,packets_src_to_dst,packets_dst_to_src,bytes_src_to_dst,bytes_dst_to_src,label
8000,41552,6,0.0028986930847167,1034.9491692712618,71066.5096232933,3,206,68.66666666666667,66,74,4.618802153517006,0.000877022743225,1,0,0,0,0,3,65160.0,0,4,3,0,206,0,benign
41564,8000,6,0.0046181678771972,866.1443469282395,99823.1359834796,4,461,115.25,66,234,79.63824458135676,0.0005982716878255,1,0,0,0,2,3,64240.0,0,6,4,0,461,0,SLOWLORIS
8000,41564,6,0.0045864582061767,654.0994957633727,44914.83204241825,3,206,68.66666666666667,66,74,4.618802153517006,0.0008978843688964,1,0,0,0,0,3,65160.0,0,4,3,0,206,0,benign
41572,8000,6,0.0039644241333007,1008.973779167669,116284.22804907383,4,461,115.25,66,234,79.63824458135676,0.0012447834014892,1,0,0,0,2,3,64240.0,0,6,4,0,461,0,SLOWLORIS
8000,41572,6,0.0036678314208984,817.9219968798752,56163.97711908476,3,206,68.66666666666667,66,74,4.618802153517006,0.0018656253814697,1,0,0,0,0,3,65160.0,0,4,3,0,206,0,benign
41586,8000,6,0.0039467811584472,1013.484112601184,116550.67294913616,4,460,115.0,66,234,79.75796720913425,0.0010824998219807,1,0,0,0,2,3,64240.0,0,6,4,0,460,0,SLOWLORIS
8000,41586,6,0.003542423248291,846.8779108897563,58152.28321442994,3,206,68.66666666666667,66,74,4.618802153517006,0.0015920400619506,1,0,0,0,0,3,65160.0,0,4,3,0,206,0,benign
41598,8000,6,0.0033290386199951,1201.548091384373,138178.0305092029,4,460,115.0,66,234,79.75796720913425,0.0007185935974121,1,0,0,0,2,3,64240.0,0,6,4,0,460,0,SLOWLORIS
8000,41598,6,0.0029633045196533,1012.3832971276852,69516.98640276772,3,206,68.66666666666667,66,74,4.618802153517006,0.0010474920272827,1,0,0,0,0,3,65160.0,0,4,3,0,206,0,benign
41604,8000,6,0.0031275749206542,1278.946180820247,147078.8107943284,4,460,115.0,66,234,79.75796720913425,0.0006600220998128,1,0,0,0,2,3,64240.0,0,6,4,0,460,0,SLOWLORIS
8000,41604,6,0.0033111572265625,906.0276497695852,62213.89861751152,3,206,68.66666666666667,66,74,4.618802153517006,0.0009713172912597,1,0,0,0,0,3,65160.0,0,4,3,0,206,0,benign
41620,8000,6,0.0027105808258056,1475.6984783182338,169705.3250065969,4,460,115.0,66,234,79.75796720913425,0.000503381093343,1,0,0,0,2,3,64240.0,0,6,4,0,460,0,SLOWLORIS
8000,41620,6,0.0026061534881591,1151.121763791053,79043.69444698564,3,206,68.66666666666667,66,74,4.618802153517006,0.0007631778717041,1,0,0,0,0,3,65160.0,0,4,3,0,206,0,benign
41628,8000,6,0.0023365020751953,1711.960816326531,197303.48408163263,4,461,115.25,66,234,79.63824458135676,0.0005449453989664,1,0,0,0,2,3,64240.0,0,6,4,0,461,0,SLOWLORIS
8000,41628,6,0.0023674964904785,1267.161329305136,87011.744612286,3,206,68.66666666666667,66,74,4.618802153517006,0.0008149147033691,1,0,0,0,0,3,65160.0,0,4,3,0,206,0,benign
41632,8000,6,0.0040547847747802,986.4888575292526,113446.21861586404,4,460,115.0,66,234,79.75796720913425,0.0026631355285644,1,0,0,0,2,3,64240.0,0,6,4,0,460,0,SLOWLORIS
8000,41632,6,0.004019021987915,746.4502580530343,51256.25105297502,3,206,68.66666666666667,66,74,4.618802153517006,0.003961443901062,1,0,0,0,0,3,65160.0,0,4,3,0,206,0,benign
41640,8000,6,0.0055882930755615,715.7820726140194,82314.93835061222,4,460,115.0,66,234,79.75796720913425,0.0041526953379313,1,0,0,0,2,3,64240.0,0,6,4,0,460,0,SLOWLORIS
8000,41640,6,0.00575852394104,520.9668364178362,35773.05610069143,3,206,68.66666666666667,66,74,4.618802153517006,0.0063273906707763,1,0,0,0,0,3,65160.0,0,4,3,0,206,0,benign
41654,8000,6,0.0040345191955566,991.4440373478312,114016.0642950006,4,460,115.0,66,234,79.75796720913425,0.0012467702229817,1,0,0,0,2,3,64240.0,0,6,4,0,460,0,SLOWLORIS
8000,41654,6,0.0041382312774658,724.9473987440226,49779.72138042288,3,206,68.66666666666667,66,74,4.618802153517006,0.0018681287765502,1,0,0,0,0,3,65160.0,0,4,3,0,206,0,benign
59494,53,17,1e-06,1000000.0,88000000.0,1,88,88.0,88,88,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,88,0,benign
40474,53,17,1e-06,1000000.0,88000000.0,1,88,88.0,88,88,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,88,0,benign
41664,8000,6,0.0030794143676757,1298.9482812016104,149703.7894084856,4,461,115.25,66,234,79.63824458135676,0.000558853149414,1,0,0,0,2,3,64240.0,0,6,4,0,461,0,SLOWLORIS
8000,41664,6,0.0032873153686523,912.5987815491732,62665.116333043225,3,206,68.66666666666667,66,74,4.618802153517006,0.0008066892623901,1,0,0,0,0,3,65160.0,0,4,3,0,206,0,benign
41666,8000,6,0.0040023326873779,999.4171680467028,114932.97432537084,4,460,115.0,66,234,79.75796720913425,0.000602642695109,1,0,0,0,2,3,64240.0,0,6,4,0,460,0,SLOWLORIS
