src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_rate,byte_rate,packet_count,byte_count,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,time_between_packets_mean,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,initial_window_size,incomplete_handshake,tcp_flags_count,packets_src_to_dst,packets_dst_to_src,bytes_src_to_dst,bytes_dst_to_src,label
192.168.152.134,239.255.255.250,53478.0,3702.0,17,6.426051616668701,1.0893158688365527,760.3424764479138,7,4886,698.0,698,698,0.0,1.071144183476766,0,0,0,0,0,0,,0,0,7,0,4886,0,benign
192.168.158.236,239.255.255.250,58872.0,1900.0,17,6.016301155090332,0.4986452510712051,89.25749994174572,3,537,179.0,179,179,0.0,3.007558584213257,0,0,0,0,0,0,,0,0,3,0,537,0,benign
192.168.157.6,224.0.0.252,60749.0,5355.0,17,0.4118521213531494,4.85611193024563,364.2083947684223,2,150,75.0,75,75,0.0,0.412060022354126,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.154.230,224.0.0.251,5353.0,5353.0,17,0.8616456985473633,6.963418966885482,1215.1166097215166,6,1047,174.5,93,299,92.33363417520184,0.16136155128479,0,0,0,0,0,0,,0,0,6,0,1047,0,benign
192.168.154.39,57.144.112.128,55724.0,443.0,6,0.1786170005798339,352.7099872659756,29022.993237885992,63,5184,82.28571428571429,66,583,84.78710122749929,0.0028532820363198,1,0,1,0,3,62,64240.0,0,67,63,0,5184,0,benign
57.144.112.128,192.168.154.39,443.0,55724.0,6,0.1672854423522949,502.13574366560914,2722030.0439594896,84,455356,5420.9047619047615,66,23526,5386.472980675139,0.0020393980554787,1,0,1,0,64,84,65535.0,0,150,84,0,455356,0,benign
192.168.157.198,224.0.0.251,5353.0,5353.0,17,2.008324146270752,1.991710355834531,195.18761487178404,4,392,98.0,79,117,21.93931022920578,0.6689192454020182,0,0,0,0,0,0,,0,0,4,0,392,0,benign
192.168.157.198,224.0.0.252,64484.0,5355.0,17,1e-06,1000000.0,73000000.0,1,73,73.0,73,73,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,73,0,benign
192.168.155.202,192.168.159.255,57621.0,57621.0,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
192.168.154.39,192.168.152.2,50710.0,53.0,17,1e-06,1000000.0,87000000.0,1,87,87.0,87,87,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,87,0,benign
192.168.154.39,192.168.152.2,47616.0,53.0,17,1e-06,1000000.0,87000000.0,1,87,87.0,87,87,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,87,0,benign
192.168.152.2,192.168.154.39,53.0,50710.0,17,1e-06,1000000.0,132000000.0,1,132,132.0,132,132,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,132,0,benign
192.168.152.2,192.168.154.39,53.0,47616.0,17,1e-06,1000000.0,144000000.0,1,144,144.0,144,144,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,144,0,benign
192.168.154.39,57.144.112.1,55882.0,443.0,6,1e-06,1000000.0,66000000.0,1,66,66.0,66,66,0.0,0.0,0,0,0,0,0,1,1342.0,0,1,1,0,66,0,benign
192.168.157.6,224.0.0.252,60249.0,5355.0,17,0.4133727550506592,4.838248228901535,362.8686171676151,2,150,75.0,75,75,0.0,0.4130342006683349,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.157.198,224.0.0.252,53272.0,5355.0,17,1e-06,1000000.0,73000000.0,1,73,73.0,73,73,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,73,0,benign
192.168.157.198,192.168.159.255,137.0,137.0,17,2.32131576538086,5.169481971803674,568.6430168984042,12,1320,110.0,110,110,0.0,0.2108995914459228,0,0,0,0,0,0,,0,0,12,0,1320,0,benign
192.168.156.226,224.0.0.251,5353.0,5353.0,17,11.535796880722046,0.1733733716603734,18.637637453490147,2,215,107.5,87,128,28.991378028648448,11.544722080230711,0,0,0,0,0,0,,0,0,2,0,215,0,benign
192.168.152.122,224.0.0.251,5353.0,5353.0,17,1e-06,1000000.0,132000000.0,1,132,132.0,132,132,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,132,0,benign
192.168.157.245,224.0.0.251,5353.0,5353.0,17,1e-06,1000000.0,139000000.0,1,139,139.0,139,139,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,139,0,benign
192.168.152.223,224.0.0.251,5353.0,5353.0,17,1e-06,1000000.0,127000000.0,1,127,127.0,127,127,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,127,0,benign
192.168.154.39,57.144.112.128,55732.0,443.0,6,0.1559150218963623,76.96500217904902,10095.242785818597,12,1574,131.16666666666666,66,583,153.07088870747754,0.0144821297038685,1,0,1,0,3,11,64240.0,0,16,12,0,1574,0,benign
57.144.112.128,192.168.154.39,443.0,55732.0,6,0.1272692680358886,78.57356417874658,77520.67841875138,10,9866,986.6,66,2826,1278.5058293005768,0.0177913771735297,1,0,1,0,6,10,65535.0,0,18,10,0,9866,0,benign
192.168.157.6,224.0.0.251,5353.0,5353.0,17,14.984512567520142,2.135538266981201,172.97859962547733,32,2592,81.0,81,81,0.0,0.4833667893563547,0,0,0,0,0,0,,0,0,32,0,2592,0,benign
192.168.157.6,224.0.0.252,57983.0,5355.0,17,0.3496842384338379,5.719445660340824,428.9584245255618,2,150,75.0,75,75,0.0,0.4155244827270508,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.157.237,224.0.0.251,44161.0,5353.0,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
192.168.157.237,224.0.0.251,45232.0,5353.0,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
192.168.157.6,192.168.159.255,137.0,137.0,17,14.719103574752808,1.35877839967818,125.00761277039256,20,1840,92.0,92,92,0.0,0.7746647031683671,0,0,0,0,0,0,,0,0,20,0,1840,0,benign
192.168.154.119,192.168.159.255,57621.0,57621.0,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
